variable,description
respondent_id,Anonymous respondent identifier
track,"Survey track (PV or PE), from screening question Q0"
role,Respondent role (Q1a)
organisation,Organisation type (Q1b)
country,Country of organisation (Q3a)
pv_team_size,"PV function size, PV track only (Q4)"
offshelf_ai,Off-the-shelf AI use in organisation (cover item)
adoption,Organisational AI adoption status (Q21)
methods,"AI methods used, ';'-separated (Q23b)"
wishes,"Aspirational AI priorities, up to 3 (Q24)"
pe_apps,PE AI applications explored (Q5-PE)
pv_apps,PV AI aspects explored (Q5-PV)
genai_changed_pe,Belief generative AI changed PE (Q6-PE)
interoperability,AI interoperability w/ CDM/terminologies (Q7-PE)
q22pv_NN_using/pilot/planned,PV activity matrix status flags (Q22-PV)
q22pe_NN_using/pilot/planned,PE activity matrix status flags (Q22-PE)
data_sources,Data sources used for AI (I-DS / Q23a)
qi1,Single most critical barrier (I-1)
qi2..qi17,Infrastructure/governance/skills single-choice items
term_*,Terminology familiarity 1-5 (I-18)
p_*,Perception Likert 1-5 (P-1)
conv_ai_comfort,Comfort implementing conversational AI (P-2)
enablers,"Enabling factors, up to 3 (P-3)"
