Characteristic,Level,Overall n (N=16),Overall %,PV n (n=3),PV %,PE n (n=13),PE %
Role,Epidemiologist/RWE at CRO (PE),3,18.8,0,0.0,3,23.1
,Senior researcher,2,12.5,0,0.0,2,15.4
,PV researcher,2,12.5,2,66.7,0,0.0
,PE researcher,2,12.5,0,0.0,2,15.4
,Regulatory assessor (PE),2,12.5,0,0.0,2,15.4
,Full professor,1,6.2,0,0.0,1,7.7
,Associate professor,1,6.2,0,0.0,1,7.7
,Other (PE),1,6.2,0,0.0,1,7.7
,PV specialist at CRO,1,6.2,1,33.3,0,0.0
,Data scientist (PE),1,6.2,0,0.0,1,7.7
Organisation,Academic / research institution,11,68.8,2,66.7,9,69.2
,Other organisation,2,12.5,1,33.3,1,7.7
,Regulatory agency,2,12.5,0,0.0,2,15.4
,CRO,1,6.2,0,0.0,1,7.7
Country,Spain,5,31.2,2,66.7,3,23.1
,United Kingdom,3,18.8,0,0.0,3,23.1
,Netherlands,3,18.8,1,33.3,2,15.4
,Italy,2,12.5,0,0.0,2,15.4
,Czech Republic,1,6.2,0,0.0,1,7.7
,Germany,1,6.2,0,0.0,1,7.7
,France,1,6.2,0,0.0,1,7.7
